hf (pretrained=deepseek-ai/DeepSeek-R1-Distill-Qwen-14B), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu                                   |      2|none  |      |acc   |↑  |0.7335|±  |0.0036|
| - humanities                          |      2|none  |      |acc   |↑  |0.6584|±  |0.0066|
|  - formal_logic                       |      1|none  |     0|acc   |↑  |0.5635|±  |0.0444|
|  - high_school_european_history       |      1|none  |     0|acc   |↑  |0.8242|±  |0.0297|
|  - high_school_us_history             |      1|none  |     0|acc   |↑  |0.8529|±  |0.0249|
|  - high_school_world_history          |      1|none  |     0|acc   |↑  |0.8861|±  |0.0207|
|  - international_law                  |      1|none  |     0|acc   |↑  |0.8347|±  |0.0339|
|  - jurisprudence                      |      1|none  |     0|acc   |↑  |0.8333|±  |0.0360|
|  - logical_fallacies                  |      1|none  |     0|acc   |↑  |0.8282|±  |0.0296|
|  - moral_disputes                     |      1|none  |     0|acc   |↑  |0.7630|±  |0.0229|
|  - moral_scenarios                    |      1|none  |     0|acc   |↑  |0.4916|±  |0.0167|
|  - philosophy                         |      1|none  |     0|acc   |↑  |0.7653|±  |0.0241|
|  - prehistory                         |      1|none  |     0|acc   |↑  |0.8117|±  |0.0218|
|  - professional_law                   |      1|none  |     0|acc   |↑  |0.5385|±  |0.0127|
|  - world_religions                    |      1|none  |     0|acc   |↑  |0.8772|±  |0.0252|
| - other                               |      2|none  |      |acc   |↑  |0.7811|±  |0.0071|
|  - business_ethics                    |      1|none  |     0|acc   |↑  |0.7800|±  |0.0416|
|  - clinical_knowledge                 |      1|none  |     0|acc   |↑  |0.8151|±  |0.0239|
|  - college_medicine                   |      1|none  |     0|acc   |↑  |0.7977|±  |0.0306|
|  - global_facts                       |      1|none  |     0|acc   |↑  |0.5100|±  |0.0502|
|  - human_aging                        |      1|none  |     0|acc   |↑  |0.7623|±  |0.0286|
